train_loss,val_loss
1.0638433982673874,0.7446884785009467
0.6723250502195114,0.6462512884450995
0.6043773105001857,0.5785197097322216
0.5687319103978637,0.5850255567094554
0.4611403204691716,0.5811460523501687
0.44414216827633035,0.566806778959606
0.4122786299031005,0.5368502813836803
0.4023008549060577,0.551510997440504
0.38291494140767646,0.5290599931841311
0.3265987377390902,0.5078801655251047
0.2911554238735101,0.4809616920740708
0.26163043438369393,0.5220964939697929
0.2504049241542816,0.4937104045049004
0.23425120516465261,0.4940942616566368
0.22613067001613796,0.4945594678106515
