Class,Precision,Recall,AP50,AP50-95
Blind-Spot Mirror (Convex),0.9888763733979744,1.0,0.995,0.910033890285883
No Entry (One Way),0.8119365702385078,0.6666666666666666,0.7937300654335608,0.5845642409023669
No Through Road (T-Sign),0.9562448985835721,0.8,0.9616666666666666,0.9234701410364539
Pedestrian Crossing,0.915992363729912,0.8888888888888888,0.9192665832290362,0.7458074117169791
Roundabout Ahead,0.9056084383154863,0.9090909090909091,0.9729720279720281,0.9281386339522546
Stop,0.9489251434259436,0.9295777250929289,0.9769827586206897,0.8864307363156467
