train_loss,val_loss,learning_rate,epoch
0.7072879760823352,0.6626932289865282,0.0001,1
0.5125443960757966,0.6002543071905772,0.0001,2
0.7872929535013564,1.0704521536827087,0.0001,3
0.6081164117823256,0.6263613700866699,0.0001,4
0.42710229056946775,0.6317553089724647,0.0001,5
0.49270880222320557,0.7972568803363376,0.0001,6
0.5164865547038139,0.7990657024913363,0.0001,7
0.4601798894557547,0.6164415644274818,5e-05,8
0.42895158744872885,0.5125563475820754,5e-05,9
0.38086314467673604,0.49438632859124076,5e-05,10
0.37281898234752897,0.4815835952758789,5e-05,11
0.4154150495503811,0.5709340737925636,5e-05,12
0.44119871899168545,0.6015199290381538,5e-05,13
0.40372291651177916,0.5360410677062141,5e-05,14
0.35923663510921156,0.48059332370758057,5e-05,15
0.32443788235491894,0.6241097152233124,5e-05,16
0.2874771832151616,0.5247333347797394,5e-05,17
0.2626646449591251,0.47857530249489677,5e-05,18
0.2603960718880308,0.45514333579275346,5e-05,19
0.29433786520298494,0.503893580701616,5e-05,20
0.3404662415702292,0.5762240224414401,5e-05,21
0.3167754031242208,1.0808373192946117,5e-05,22
0.34654691878785476,0.7532687816354964,5e-05,23
0.31148274116059566,0.5639485948615603,5e-05,24
0.2820694126347278,0.6190144916375478,2.5e-05,25
0.34921043350341474,0.4608583317862617,2.5e-05,26
0.30195661967105053,0.4700375994046529,2.5e-05,27
0.2687210920960345,0.5040420691172282,2.5e-05,28
0.24671145734634806,0.5943883889251285,2.5e-05,29
0.21397582504977572,0.697397811545266,2.5e-05,30
0.19302522058182575,0.807614846362008,1.25e-05,31
0.20346997947768963,0.5158204105165269,1.25e-05,32
0.12667056379166056,0.5347555064492755,1.25e-05,33
0.10117877496683851,0.5715874996450212,1.25e-05,34
0.08937931219314008,0.5998194813728333,1.25e-05,35
0.0804958913792321,0.6261450350284576,1.25e-05,36
0.07368947272288039,0.6541783776548173,6.25e-06,37
0.07044835424328104,0.6603049768341912,6.25e-06,38
0.06553645103060185,0.6741732789410485,6.25e-06,39
