epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,340.841,0.54796,0.86666,0.92426,0.91006,0.84013,0.90831,0.80105,0.51731,0.62062,0.90218,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,351.398,0.51314,0.83752,0.91533,0.92741,0.84883,0.91205,0.79666,0.52032,0.60987,0.90704,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,360.998,0.52897,0.81349,0.91555,0.8602,0.87167,0.89385,0.78739,0.51673,0.62751,0.91226,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,371.162,0.5173,0.84106,0.91634,0.911,0.85594,0.90238,0.79023,0.51281,0.61899,0.91794,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,381.778,0.55473,0.83746,0.93626,0.92113,0.80982,0.89154,0.77629,0.51425,0.64011,0.9236,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,391.178,0.50846,0.77826,0.915,0.89395,0.82223,0.8573,0.7655,0.49902,0.63269,0.91057,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,400.874,0.50936,0.78545,0.90802,0.92791,0.86134,0.8997,0.79711,0.51392,0.58353,0.91174,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,410.168,0.51752,0.76816,0.9209,0.91934,0.84292,0.90154,0.79921,0.53425,0.60593,0.91611,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,420.095,0.51134,0.76169,0.92487,0.91291,0.84182,0.90107,0.80139,0.51026,0.60693,0.91388,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,429.877,0.50117,0.76857,0.90874,0.89028,0.85929,0.90496,0.802,0.48652,0.5789,0.90263,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,439.467,0.48823,0.73254,0.89632,0.92922,0.8164,0.90814,0.79501,0.50424,0.58104,0.92084,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,448.964,0.4773,0.71267,0.89801,0.90004,0.83969,0.90741,0.7989,0.50412,0.58448,0.93116,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,459.317,0.48269,0.72759,0.91586,0.88824,0.86843,0.89861,0.7898,0.51948,0.55913,0.93291,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,469.274,0.49513,0.76077,0.91345,0.84934,0.85849,0.88661,0.7788,0.5162,0.57786,0.92199,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,479.108,0.48702,0.70642,0.9074,0.92628,0.84399,0.90307,0.7969,0.50892,0.58392,0.91631,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,488.227,0.46603,0.69644,0.89964,0.93031,0.84086,0.90567,0.8017,0.51268,0.59277,0.93115,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,497.849,0.46884,0.67217,0.8871,0.93055,0.86738,0.90089,0.79695,0.50909,0.58514,0.92936,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,506.939,0.45374,0.67927,0.89668,0.90582,0.86194,0.90035,0.80232,0.49713,0.57149,0.92634,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,516.573,0.48184,0.68262,0.90675,0.90926,0.85447,0.89949,0.80024,0.50163,0.59434,0.9213,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,525.801,0.46953,0.69141,0.89966,0.92349,0.83502,0.89245,0.79347,0.49617,0.61046,0.91625,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,535.091,0.4547,0.66611,0.89987,0.9275,0.83585,0.90048,0.79739,0.49266,0.58303,0.92254,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,544.133,0.46029,0.65878,0.90185,0.89721,0.84987,0.8976,0.79532,0.50131,0.59606,0.92709,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,553.559,0.43987,0.65114,0.88986,0.85984,0.87654,0.89669,0.79226,0.49639,0.57275,0.91695,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,563.073,0.48297,0.65355,0.90242,0.86093,0.87992,0.89503,0.79406,0.49702,0.56933,0.9148,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,572.337,0.45789,0.64597,0.8972,0.82766,0.87967,0.87983,0.77328,0.5024,0.574,0.91576,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,581.568,0.43217,0.63989,0.89901,0.86789,0.87476,0.88951,0.78752,0.50189,0.57287,0.91981,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,591.732,0.46234,0.64323,0.90587,0.8493,0.85852,0.88126,0.77762,0.50078,0.58796,0.92924,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,600.339,0.45519,0.62703,0.90854,0.90006,0.8662,0.9007,0.79372,0.4842,0.55922,0.91635,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,609.7,0.44535,0.62053,0.89874,0.85974,0.88062,0.89674,0.79129,0.50324,0.57724,0.92573,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,619.389,0.44944,0.62441,0.89406,0.89041,0.86056,0.89422,0.78069,0.52133,0.59048,0.92977,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,629.031,0.43578,0.6126,0.89499,0.87591,0.87596,0.89626,0.78274,0.50875,0.58492,0.93011,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,638.206,0.44695,0.6305,0.88804,0.90306,0.86597,0.89971,0.79442,0.50344,0.59075,0.92823,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,647.828,0.41488,0.59582,0.88203,0.93545,0.86355,0.90947,0.80578,0.4828,0.55431,0.91802,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,656.902,0.41258,0.58024,0.87124,0.91638,0.86038,0.90855,0.80287,0.48144,0.54329,0.91748,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,666.126,0.42482,0.5964,0.88833,0.92094,0.85629,0.90432,0.79876,0.48917,0.53771,0.92059,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
